asn,handle,description,country-code
0,IANA-RSVD-0,Internet Assigned Numbers Authority,US
1,LVLT-1,Level 3 Parent LLC,US
2,UDEL-DCN,University of Delaware,US
3,AS3,Adaptive Systems A/S,US
4,ISI-AS,University of Southern California,US
5,SYMBOLICS,WFA Group LLC,US
6,BULL-NETWORK,"ATOS IT Solutions and Services, Inc.",US
7,DSTL,The Defence Science and Technology Laboratory,GB
8,RICE-AS,Rice University,US
9,CMU-ROUTER,Carnegie Mellon University,US
10,EJU1-RIPE,CSNET Coordination and Information Center (CSNET-CIC),US
11,HARVARD,Harvard University,US
12,NYU-DOMAIN,New York University,US
13,DNIC-AS-00013,Headquarters USAISC,US
14,COLUMBIA-GW,Columbia University,US
15,NET-DYNAMICS-EXP,DYNAMICS,US
16,LBL,Lawrence Berkeley National Laboratory,US
17,PURDUE,Purdue University,US
18,UTEXAS,University of Texas at Austin,US
19,LEIDOS-AS,Leidos Inc.,US
20,UR,University of Rochester,US
21,RAND,The RAND Corporation,US
22,DNIC-AS-00022,Navy Network Information Center (NNIC),US
23,AS23,National Aeronautics and Space Administration,US
24,AS24,National Aeronautics and Space Administration,US
25,UCB,University of California at Berkeley,US
26,CORNELL,Cornell University,US
27,UMDNET,University of Maryland,US
28,DFVLR-SYS,Deutsches Zentrum fuer Luft- und Raumfahrt e.V.,DE
29,YALE-AS,Yale University,US
30,SRI-AICNET,SRI International,US
31,CIT,California Institute of Technology,US
32,STANFORD,Stanford University,US
33,HPINC,HP Inc.,US
34,UDELNET,University of Delaware,US
35,MITRE-AS-1,The MITRE Corporation,US
36,EGP-TESTOR,SRI International,US
37,DNIC-AS-00037,Navy Network Information Center (NNIC),US
38,UIUC,University of Illinois,US
39,DNIC-AS-00039,United States Department of Defense (DoD),US
40,MIT-TEST,Massachusetts Institute of Technology,US
41,AS41,National Aeronautics and Space Administration,US
42,PCH,PCH,US
43,BNL-AS,Brookhaven National Laboratory,US
44,S1-DOMAIN,Lawrence Livermore National Laboratory,US
45,LLL-TIS-AS,Lawrence Livermore National Laboratory,US
46,RUTGERS,Rutgers The State University,US
47,USC-AS,University of Southern California,US
48,DNIC-AS-00048,Navy Network Information Center (NNIC),US
49,US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY,National Institute of Standards and Technology,US
50,ORNL-MSRNET,Oak Ridge National Laboratory,US
51,DNIC-AS-00051,Headquarters USAISC,US
52,UCLA,University of California Los Angeles,US
53,NORTHROP-AS,Northrop Grumman Corporation - Automation Sciences Laboratory,US
54,DNIC-AS-00054,Headquarters USAISC,US
55,UPENN,University of Pennsylvania,US
56,DNIC-AS-00056,United States Department of Defense (DoD),US
57,NL-GIGAPOP,University of Minnesota,US
58,SSC-299-Z-58,Shared Services Canada,CA
